ang_estercamento,Aceleração X,Aceleração Y,Aceleração Z,Temperatura,Roll,Pitch,Yaw,Velocidade Angular X,Velocidade Angular Y,Velocidade Angular Z,Campo Magnetico X: ,Campo Magnetico Y: ,Campo Magnetico Z: ,Tempo: 
84.639,0.976171875,1.9954101562500002,9.603808593750001,31.37,14.8,-3.6,-176.2,0.0,0.0,0.0,193,-2753,4693,16:10:02.638487
84.639,0.9666015625000001,2.0049804687500004,9.627734375000001,31.24,14.8,-3.6,-176.2,0.0,0.0,0.0,196,-2754,4689,16:10:02.744103
84.639,0.9809570312500001,2.009765625,9.63251953125,31.18,14.8,-3.6,-176.2,0.0,0.0,0.0,187,-2749,4690,16:10:02.843223
84.639,0.9474609375,2.0001953125000003,9.61337890625,31.43,14.8,-3.6,-176.2,0.0,0.0,0.0,204,-2751,4705,16:10:02.939454
84.639,0.9474609375,1.9954101562500002,9.60859375,31.37,14.8,-3.6,-176.2,0.0,0.0,0.0,203,-2746,4704,16:10:03.038061
84.639,0.9570312500000001,2.0049804687500004,9.622949218750001,31.18,14.8,-3.6,-176.2,0.0,0.0,0.0,184,-2759,4700,16:10:03.141977
84.639,0.9666015625000001,1.9954101562500002,9.59423828125,31.43,14.8,-3.6,-176.2,0.0,0.0,0.0,188,-2748,4697,16:10:03.235318
84.639,0.9474609375,1.990625,9.622949218750001,31.43,14.8,-3.6,-176.2,0.0,0.0,0.0,200,-2752,4693,16:10:03.336949
84.639,0.9618164062500001,1.97626953125,9.622949218750001,31.56,14.8,-3.6,-176.2,0.0,0.0,0.0,195,-2760,4720,16:10:03.435703
84.639,0.9378906250000001,1.990625,9.599023437500001,31.43,14.8,-3.6,-176.2,0.0,0.0,0.0,193,-2760,4706,16:10:03.535283
84.639,0.9283203125,2.0193359375,9.599023437500001,31.37,14.8,-3.6,-176.2,0.0,0.0,0.0,184,-2750,4719,16:10:03.638751
84.639,0.9474609375,1.97626953125,9.599023437500001,31.43,14.8,-3.6,-176.2,0.0,0.0,0.0,189,-2751,4715,16:10:03.736981
84.639,0.9283203125,2.0001953125000003,9.603808593750001,31.24,14.8,-3.6,-176.2,0.0,0.0,0.0,178,-2756,4709,16:10:03.839093
84.639,0.9283203125,2.009765625,9.61337890625,31.18,14.8,-3.6,-176.2,0.0,0.0,0.0,199,-2747,4698,16:10:03.935692
84.639,0.9474609375,1.990625,9.627734375000001,31.37,14.8,-3.6,-176.2,0.0,0.0,0.0,194,-2744,4694,16:10:04.037285
84.639,0.95224609375,1.9954101562500002,9.60859375,31.18,14.8,-3.6,-176.2,0.0,0.0,0.0,184,-2744,4694,16:10:04.136955
84.639,0.9474609375,1.96669921875,9.603808593750001,31.43,14.8,-3.6,-176.2,0.0,0.0,0.0,173,-2736,4686,16:10:04.234781
84.639,0.95224609375,2.0049804687500004,9.575097656250001,31.43,14.8,-3.6,-176.2,0.0,0.0,0.0,182,-2742,4701,16:10:04.330079
84.639,0.9618164062500001,1.9858398437500002,9.622949218750001,31.24,14.8,-3.6,-176.2,0.0,0.0,0.0,180,-2746,4710,16:10:04.436251
84.639,0.97138671875,2.009765625,9.60859375,31.62,14.8,-3.6,-176.2,0.0,0.0,0.0,185,-2750,4715,16:10:04.536816
84.639,0.9666015625000001,1.9714843750000002,9.61337890625,31.24,14.8,-3.6,-176.2,0.0,0.0,0.0,184,-2743,4698,16:10:04.635896
84.639,0.9618164062500001,2.009765625,9.603808593750001,31.43,14.8,-3.6,-176.2,0.0,0.0,0.0,187,-2743,4693,16:10:04.735051
84.639,0.9474609375,2.0001953125000003,9.59423828125,31.43,14.8,-3.6,-176.2,0.0,0.0,0.0,192,-2737,4708,16:10:04.836165
84.639,0.95224609375,2.0049804687500004,9.59423828125,31.24,14.8,-3.6,-176.2,0.0,0.0,0.0,202,-2748,4704,16:10:04.934776
84.639,0.9809570312500001,1.9810546875000001,9.60859375,31.43,14.8,-3.6,-176.2,0.0,0.0,0.0,197,-2743,4722,16:10:05.026839
84.639,0.95224609375,1.9858398437500002,9.589453125,31.37,14.8,-3.6,-176.2,0.0,0.0,0.0,196,-2754,4696,16:10:05.126181
84.639,0.9570312500000001,1.990625,9.599023437500001,31.43,14.8,-3.6,-176.2,0.0,0.0,0.0,199,-2750,4675,16:10:05.227089
84.639,0.9474609375,2.0049804687500004,9.603808593750001,31.56,14.8,-3.6,-176.2,0.0,0.0,0.0,192,-2751,4682,16:10:05.326682
84.639,0.9570312500000001,1.9954101562500002,9.627734375000001,31.18,14.8,-3.6,-176.2,0.0,0.0,0.0,194,-2751,4672,16:10:05.427167
84.639,0.9570312500000001,1.9954101562500002,9.61337890625,31.18,14.8,-3.6,-176.2,0.0,0.0,0.0,183,-2753,4689,16:10:05.523242
84.639,0.97138671875,2.01455078125,9.6181640625,31.18,14.8,-3.6,-176.2,0.0,0.0,0.0,189,-2743,4705,16:10:05.622335
84.639,0.9474609375,2.01455078125,9.63251953125,31.37,14.8,-3.6,-176.2,0.0,0.0,0.0,193,-2755,4703,16:10:05.724068
84.639,0.95224609375,2.0001953125000003,9.61337890625,31.24,14.8,-3.6,-176.2,0.0,0.0,0.0,200,-2762,4684,16:10:05.826473
84.639,0.9618164062500001,1.9858398437500002,9.603808593750001,31.43,14.8,-3.6,-176.2,0.0,0.0,0.0,194,-2766,4698,16:10:05.923811
84.639,0.9331054687500001,1.9714843750000002,9.603808593750001,31.37,14.8,-3.6,-176.2,0.0,0.0,0.0,192,-2773,4691,16:10:06.028622
84.639,0.9426757812500001,1.9858398437500002,9.60859375,31.56,14.8,-3.6,-176.2,0.0,0.0,0.0,201,-2765,4714,16:10:06.124389
84.639,0.9378906250000001,2.01455078125,9.589453125,31.43,14.8,-3.6,-176.2,0.0,0.0,0.0,195,-2761,4701,16:10:06.221085
84.639,0.9378906250000001,1.9954101562500002,9.627734375000001,31.49,14.8,-3.6,-176.2,0.0,0.0,0.0,190,-2764,4701,16:10:06.325066
84.639,0.9426757812500001,1.990625,9.63251953125,31.43,14.8,-3.6,-176.2,0.0,0.0,0.0,205,-2764,4698,16:10:06.421901
84.639,0.9331054687500001,2.0001953125000003,9.60859375,31.18,14.8,-3.6,-176.2,0.0,0.0,0.0,203,-2770,4678,16:10:06.520283
84.639,0.9426757812500001,2.0049804687500004,9.599023437500001,31.56,14.8,-3.6,-176.2,0.0,0.0,0.0,197,-2756,4691,16:10:06.621868
84.639,0.9618164062500001,2.0001953125000003,9.627734375000001,31.24,14.8,-3.6,-176.2,0.0,0.0,0.0,191,-2754,4699,16:10:06.723631
84.639,0.9570312500000001,2.01455078125,9.60859375,31.56,14.8,-3.6,-176.2,0.0,0.0,0.0,196,-2757,4665,16:10:06.822717
84.639,0.9426757812500001,1.97626953125,9.60859375,31.24,14.8,-3.6,-176.2,0.0,0.0,0.0,196,-2759,4686,16:10:06.920291
84.639,0.9474609375,1.9954101562500002,9.60859375,31.43,14.8,-3.6,-176.2,0.0,0.0,0.0,181,-2760,4685,16:10:07.023285
84.639,0.95224609375,2.009765625,9.599023437500001,31.37,14.8,-3.6,-176.2,0.0,0.0,0.0,186,-2769,4702,16:10:07.122396
84.639,0.976171875,1.97626953125,9.599023437500001,31.43,14.8,-3.6,-176.2,0.0,0.0,0.0,192,-2755,4684,16:10:07.223056
84.639,0.95224609375,2.009765625,9.589453125,31.49,14.8,-3.6,-176.2,0.0,0.0,0.0,190,-2760,4678,16:10:07.320453
84.639,0.9666015625000001,2.0049804687500004,9.646875000000001,31.43,14.8,-3.6,-176.2,0.0,0.0,0.0,194,-2753,4708,16:10:07.420415
84.639,0.9666015625000001,1.9810546875000001,9.58466796875,31.18,14.8,-3.6,-176.2,0.0,0.0,0.0,203,-2756,4705,16:10:07.519362
84.639,0.9426757812500001,1.9714843750000002,9.6181640625,31.24,14.8,-3.6,-176.2,0.0,0.0,0.0,211,-2758,4703,16:10:07.621599
84.639,0.9570312500000001,1.9858398437500002,9.61337890625,31.43,14.8,-3.6,-176.2,0.0,0.0,0.0,196,-2770,4700,16:10:07.717813
84.639,0.9378906250000001,1.990625,9.6181640625,31.18,14.8,-3.6,-176.2,0.0,0.0,0.0,187,-2770,4700,16:10:07.821277
84.639,0.9570312500000001,1.97626953125,9.599023437500001,31.43,14.8,-3.6,-176.2,0.0,0.0,0.0,184,-2757,4700,16:10:07.918937
84.639,0.9570312500000001,1.9810546875000001,9.60859375,31.43,14.8,-3.6,-176.2,0.0,0.0,0.0,193,-2761,4678,16:10:08.019970
84.639,0.9378906250000001,1.990625,9.603808593750001,31.18,14.8,-3.6,-176.2,0.0,0.0,0.0,185,-2748,4685,16:10:08.120103
84.639,0.9570312500000001,1.9858398437500002,9.60859375,31.11,14.8,-3.6,-176.2,0.0,0.0,0.0,175,-2753,4695,16:10:08.216624
84.639,0.92353515625,1.9954101562500002,9.627734375000001,31.43,14.8,-3.6,-176.2,0.0,0.0,0.0,183,-2761,4714,16:10:08.313667
84.639,0.9283203125,2.009765625,9.622949218750001,31.24,14.8,-3.6,-176.2,0.0,0.0,0.0,192,-2756,4687,16:10:08.415647
84.639,0.95224609375,1.9954101562500002,9.603808593750001,31.43,14.8,-3.6,-176.2,0.0,0.0,0.0,203,-2746,4715,16:10:08.518077
84.639,0.9618164062500001,2.0193359375,9.589453125,31.11,14.8,-3.6,-176.2,0.0,0.0,0.0,186,-2755,4695,16:10:08.612923
84.639,0.9378906250000001,1.97626953125,9.599023437500001,31.37,14.8,-3.6,-176.2,0.0,0.0,0.0,194,-2742,4714,16:10:08.716025
84.639,0.9378906250000001,1.990625,9.622949218750001,31.37,14.8,-3.6,-176.2,0.0,0.0,0.0,200,-2753,4701,16:10:08.813315
84.639,0.9570312500000001,1.96669921875,9.603808593750001,31.43,14.8,-3.6,-176.2,0.0,0.0,0.0,197,-2758,4726,16:10:08.913638
84.639,0.9426757812500001,2.0001953125000003,9.6181640625,31.24,14.8,-3.6,-176.2,0.0,0.0,0.0,197,-2763,4703,16:10:09.016183
84.639,0.9474609375,1.9858398437500002,9.60859375,31.49,14.8,-3.6,-176.2,0.0,0.0,0.0,188,-2757,4688,16:10:09.114076
84.639,0.9474609375,1.9954101562500002,9.58466796875,31.56,14.8,-3.6,-176.2,0.0,0.0,0.0,186,-2761,4679,16:10:09.214274
84.639,0.9378906250000001,2.009765625,9.599023437500001,31.49,14.8,-3.6,-176.2,0.0,0.0,0.0,203,-2746,4703,16:10:09.314149
84.639,0.9474609375,1.9954101562500002,9.58466796875,31.49,14.8,-3.6,-176.2,0.0,0.0,0.0,200,-2747,4710,16:10:09.414165
84.639,0.9378906250000001,2.009765625,9.6181640625,31.43,14.8,-3.6,-176.2,0.0,0.0,0.0,186,-2761,4674,16:10:09.506046
84.639,0.9426757812500001,1.9858398437500002,9.60859375,31.43,14.8,-3.6,-176.2,0.0,0.0,0.0,203,-2751,4691,16:10:09.610462
84.639,0.976171875,2.0049804687500004,9.6181640625,31.37,14.8,-3.6,-176.2,0.0,0.0,0.0,195,-2741,4715,16:10:09.705617
84.639,0.9331054687500001,2.009765625,9.603808593750001,31.56,14.8,-3.6,-176.2,0.0,0.0,0.0,200,-2734,4705,16:10:09.809496
84.639,0.9666015625000001,2.009765625,9.627734375000001,31.37,14.8,-3.6,-176.2,0.0,0.0,0.0,189,-2752,4693,16:10:09.908545
84.639,0.9426757812500001,1.9858398437500002,9.59423828125,31.24,14.8,-3.6,-176.2,0.0,0.0,0.0,183,-2759,4704,16:10:10.003914
84.639,0.9474609375,1.9954101562500002,9.603808593750001,31.24,14.8,-3.6,-176.2,0.0,0.0,0.0,187,-2742,4726,16:10:10.104177
84.639,0.97138671875,2.0001953125000003,9.6181640625,31.49,14.8,-3.6,-176.2,0.0,0.0,0.0,206,-2749,4714,16:10:10.203356
84.639,0.9474609375,1.9954101562500002,9.60859375,31.43,14.8,-3.6,-176.2,0.0,0.0,0.0,218,-2761,4697,16:10:10.304509
84.639,0.97138671875,1.97626953125,9.60859375,31.49,14.8,-3.6,-176.2,0.0,0.0,0.0,198,-2738,4688,16:10:10.404425
